"product_id","category","units_sold","price"
"P0085","Electronics",129,"87.71"
"P0068","Electronics",68,"61.25"
"P0126","Clothing",248,"69.97"
"P0133","Clothing",185,"81.51"
"P0096","Toys",89,"24.93"
"P0016","Clothing",144,"52.48"
"P0031","Electronics",81,"78.49"
"P0129","Furniture",99,"45.47"
"P0116","Furniture",59,"70.59"
"P0070","Electronics",94,"25.89"
"P0171","Electronics",117,"45.8"
"P0175","Electronics",75,"46.5"
"P0046","Clothing",143,"51.39"
"P0067","Furniture",104,"81.19"
"P0183","Electronics",65,"34.26"
"P0166","Groceries",51,"87.31"
"P0079","Furniture",52,"70.79"
"P0187","Clothing",81,"96.47"
"P0178","Clothing",95,"92.88"
"P0057","Clothing",205,"68.97"
"P0153","Furniture",36,"79.22"
"P0083","Toys",110,"26.58"
"P0069","Clothing",71,"33.18"
"P0125","Clothing",156,"93.16"
"P0017","Toys",120,"73.65"
"P0149","Furniture",84,"59.96"
"P0094","Groceries",118,"38.2"
"P0066","Clothing",186,"64.73"
"P0061","Clothing",116,"55.46"
"P0085","Electronics",112,"68.38"
"P0068","Electronics",53,"71.84"
"P0126","Clothing",157,"24.47"
"P0133","Clothing",127,"50.4"
"P0096","Toys",55,"45.21"
"P0016","Clothing",134,"86.69"
"P0031","Electronics",138,"28.13"
"P0159","Electronics",78,"22.98"
"P0116","Furniture",130,"46.24"
"P0070","Electronics",83,"20.78"
"P0171","Electronics",85,"81.45"
"P0175","Electronics",71,"31.73"
"P0046","Clothing",70,"10.49"
"P0067","Furniture",114,"87.41"
"P0183","Electronics",129,"84.64"
"P0166","Groceries",64,"76.41"
"P0079","Furniture",91,"72.54"
"P0187","Clothing",93,"61.35"
"P0178","Clothing",225,"84.59"
"P0057","Clothing",133,"80.36"
"P0153","Furniture",80,"59.64"
"P0083","Toys",124,"15.12"
"P0069","Clothing",118,"75.08"
"P0125","Clothing",149,"50.78"
"P0017","Toys",50,"77.77"
"P0094","Groceries",108,"45.97"
"P0066","Clothing",189,"61.72"
"P0061","Clothing",140,"68.21"
"P0068","Electronics",63,"83.76"
"P0126","Clothing",118,"58.17"
"P0133","Clothing",68,"14.82"
"P0096","Toys",58,"24.09"
"P0031","Electronics",117,"51.59"
"P0159","Electronics",36,"99.44"
"P0129","Furniture",40,"14.51"
"P0116","Furniture",62,"55.54"
"P0070","Electronics",158,"72.32"
"P0175","Electronics",81,"46.68"
"P0046","Clothing",68,"69.87"
"P0067","Furniture",53,"99.97"
"P0183","Electronics",86,"30.6"
"P0079","Furniture",38,"25.43"
"P0187","Clothing",168,"17.63"
"P0057","Clothing",73,"12.68"
"P0153","Furniture",75,"22.09"
"P0083","Toys",125,"24.69"
"P0069","Clothing",152,"27.38"
"P0125","Clothing",97,"10.35"
"P0017","Toys",106,"54.99"
"P0149","Furniture",99,"82.58"
"P0094","Groceries",82,"76.69"
"P0066","Clothing",117,"22.32"
"P0061","Clothing",120,"52.87"
"P0085","Electronics",36,"77.42"
"P0068","Electronics",82,"56.41"
"P0126","Clothing",102,"63.39"
"P0096","Toys",79,"86.38"
"P0031","Electronics",115,"47.63"
"P0159","Electronics",54,"59.28"
"P0116","Furniture",91,"55.45"
"P0070","Electronics",26,"55.28"
"P0171","Electronics",93,"19.27"
"P0175","Electronics",103,"54.01"
"P0046","Clothing",140,"12.75"
"P0067","Furniture",72,"37.43"
"P0183","Electronics",90,"52.9"
"P0166","Groceries",75,"86.48"
"P0079","Furniture",123,"97.92"
"P0187","Clothing",122,"66.47"
"P0178","Clothing",105,"92.19"
"P0057","Clothing",134,"22.69"
"P0153","Furniture",65,"18.52"
"P0083","Toys",125,"27.1"
"P0069","Clothing",113,"51.89"
"P0125","Clothing",92,"57.3"
"P0149","Furniture",68,"31.75"
"P0094","Groceries",80,"77.36"
"P0066","Clothing",102,"80.8"
"P0061","Clothing",159,"54.81"
"P0085","Electronics",17,"49.82"
"P0068","Electronics",51,"41.03"
"P0126","Clothing",144,"99.39"
"P0133","Clothing",152,"15.87"
"P0096","Toys",126,"51.31"
"P0016","Clothing",103,"64.25"
"P0159","Electronics",97,"24.11"
"P0129","Furniture",97,"67.35"
"P0116","Furniture",88,"66.85"
"P0171","Electronics",113,"83.41"
"P0046","Clothing",107,"47.28"
"P0067","Furniture",54,"22.76"
"P0183","Electronics",68,"52.44"
"P0079","Furniture",46,"80.31"
"P0057","Clothing",77,"76.41"
"P0153","Furniture",70,"66.82"
"P0083","Toys",94,"51.56"
"P0069","Clothing",245,"89.52"
"P0125","Clothing",98,"68.35"
"P0017","Toys",85,"49.45"
"P0149","Furniture",67,"16.34"
"P0094","Groceries",42,"86.95"
"P0066","Clothing",67,"36.15"
"P0061","Clothing",132,"56.29"
"P0068","Electronics",71,"63.46"
"P0126","Clothing",102,"76.76"
"P0133","Clothing",194,"13.1"
"P0096","Toys",63,"50.69"
"P0016","Clothing",99,"29.18"
"P0031","Electronics",57,"62.73"
"P0159","Electronics",73,"40.16"
"P0129","Furniture",103,"96.37"
"P0116","Furniture",153,"53.62"
"P0171","Electronics",69,"44.66"
"P0175","Electronics",106,"15.47"
"P0046","Clothing",142,"61.28"
"P0067","Furniture",87,"93.63"
"P0183","Electronics",112,"26.79"
"P0166","Groceries",70,"67.66"
"P0079","Furniture",116,"98.23"
"P0187","Clothing",148,"51.83"
"P0178","Clothing",77,"69.12"
"P0153","Furniture",69,"53.98"
"P0083","Toys",112,"26.23"
"P0069","Clothing",227,"66.21"
"P0125","Clothing",130,"14.35"
"P0017","Toys",106,"91.16"
"P0094","Groceries",76,"90.19"
"P0066","Clothing",104,"44.97"
"P0061","Clothing",185,"59.88"
"P0085","Electronics",134,"20.72"
"P0068","Electronics",109,"33.6"
"P0126","Clothing",174,"18.42"
"P0133","Clothing",128,"73.7"
"P0096","Toys",108,"22.75"
"P0016","Clothing",97,"99.93"
"P0031","Electronics",25,"17.5"
"P0159","Electronics",38,"56.84"
"P0129","Furniture",126,"67.4"
"P0116","Furniture",95,"69.39"
"P0070","Electronics",85,"68.61"
"P0171","Electronics",114,"43"
"P0046","Clothing",101,"25.87"
"P0183","Electronics",38,"15.28"
"P0166","Groceries",92,"12.2"
"P0079","Furniture",74,"24.45"
"P0187","Clothing",81,"50.62"
"P0178","Clothing",79,"15.14"
"P0057","Clothing",117,"37.07"
"P0153","Furniture",93,"14.29"
"P0069","Clothing",108,"46.41"
"P0125","Clothing",108,"41.93"
"P0149","Furniture",83,"59.94"
"P0094","Groceries",67,"57.18"
"P0068","Electronics",56,"91.72"
"P0126","Clothing",138,"34.44"
"P0096","Toys",169,"45.08"
"P0016","Clothing",183,"95.34"
"P0031","Electronics",164,"11.32"
"P0159","Electronics",89,"22.74"
"P0129","Furniture",111,"40.58"
"P0116","Furniture",123,"82.94"
"P0070","Electronics",73,"54.81"
"P0171","Electronics",173,"85.05"
"P0175","Electronics",133,"52.92"
"P0067","Furniture",169,"55.33"
"P0166","Groceries",45,"50.73"
"P0079","Furniture",50,"23.92"
"P0178","Clothing",31,"24.27"
"P0153","Furniture",86,"71.32"
"P0083","Toys",115,"18.34"
"P0069","Clothing",120,"76.46"
"P0125","Clothing",48,"60.35"
"P0017","Toys",103,"79.62"
"P0149","Furniture",109,"81.58"
"P0094","Groceries",189,"35.84"
"P0066","Clothing",78,"65.62"
"P0061","Clothing",143,"27.93"
"P0133","Clothing",198,"58.35"
"P0096","Toys",41,"11.1"
"P0016","Clothing",135,"44.8"
"P0159","Electronics",56,"24.28"
"P0129","Furniture",137,"48.61"
"P0116","Furniture",121,"13.2"
"P0070","Electronics",121,"70.1"
"P0171","Electronics",155,"28.75"
"P0175","Electronics",146,"59.05"
"P0046","Clothing",100,"37.67"
"P0067","Furniture",71,"12.49"
"P0079","Furniture",104,"78.64"
"P0187","Clothing",104,"20.44"
"P0178","Clothing",121,"31.77"
"P0153","Furniture",104,"44.37"
"P0069","Clothing",162,"11.75"
"P0125","Clothing",238,"98.8"
"P0017","Toys",151,"60.48"
"P0149","Furniture",103,"32.94"
"P0094","Groceries",59,"74.95"
"P0066","Clothing",61,"73.22"
"P0061","Clothing",123,"53.82"
"P0068","Electronics",113,"88.48"
"P0126","Clothing",168,"20.26"
"P0133","Clothing",162,"75.95"
"P0096","Toys",45,"11.71"
"P0016","Clothing",114,"19.95"
"P0031","Electronics",81,"38.95"
"P0159","Electronics",97,"40.35"
"P0129","Furniture",100,"11.7"
"P0116","Furniture",108,"37.91"
"P0175","Electronics",128,"75.52"
"P0183","Electronics",31,"15.54"
"P0079","Furniture",59,"63.08"
"P0187","Clothing",147,"53.96"
"P0178","Clothing",160,"10.8"
"P0057","Clothing",107,"90.16"
"P0153","Furniture",63,"90.39"
"P0083","Toys",55,"40.85"
"P0125","Clothing",136,"21.94"
"P0017","Toys",33,"64.5"
"P0149","Furniture",78,"31.26"
"P0094","Groceries",157,"98.47"
"P0066","Clothing",96,"90.64"
"P0061","Clothing",119,"54.12"
"P0085","Electronics",102,"31.52"
"P0068","Electronics",100,"63.59"
"P0126","Clothing",182,"19.66"
"P0133","Clothing",102,"48.27"
"P0096","Toys",52,"50.68"
"P0016","Clothing",163,"68.16"
"P0031","Electronics",110,"30.91"
"P0159","Electronics",29,"86.18"
"P0129","Furniture",56,"51.96"
"P0116","Furniture",122,"78.47"
"P0070","Electronics",73,"87.51"
"P0171","Electronics",73,"60.07"
"P0175","Electronics",99,"85.06"
"P0046","Clothing",88,"87.98"
"P0067","Furniture",111,"89.7"
"P0183","Electronics",46,"44.32"
"P0166","Groceries",75,"29.88"
"P0079","Furniture",84,"30.63"
"P0187","Clothing",138,"83.16"
"P0178","Clothing",158,"29.45"
"P0057","Clothing",36,"11.09"
"P0153","Furniture",28,"52.02"
"P0083","Toys",5,"10.03"
"P0125","Clothing",118,"25.18"
"P0149","Furniture",121,"10.4"
"P0094","Groceries",109,"18.89"
"P0066","Clothing",120,"84.43"
"P0061","Clothing",33,"21"
"P0085","Electronics",68,"93.77"
"P0068","Electronics",82,"32.8"
"P0126","Clothing",128,"91.59"
"P0133","Clothing",147,"32.22"
"P0096","Toys",76,"81.39"
"P0016","Clothing",137,"82.88"
"P0031","Electronics",118,"75.04"
"P0159","Electronics",97,"22.74"
"P0129","Furniture",145,"24.45"
"P0116","Furniture",51,"73.41"
"P0070","Electronics",82,"41.26"
"P0171","Electronics",70,"73.9"
"P0175","Electronics",76,"92.82"
"P0046","Clothing",169,"81.28"
"P0067","Furniture",91,"70.55"
"P0183","Electronics",48,"28.32"
"P0166","Groceries",50,"72.1"
"P0079","Furniture",160,"49.16"
"P0178","Clothing",163,"98.55"
"P0057","Clothing",238,"10.85"
"P0083","Toys",125,"50.59"
"P0125","Clothing",160,"49.24"
"P0017","Toys",27,"87.2"
"P0149","Furniture",82,"70.2"
"P0094","Groceries",143,"49.02"
"P0066","Clothing",201,"42.04"
"P0061","Clothing",100,"48.58"
"P0085","Electronics",124,"39.24"
"P0068","Electronics",106,"48.31"
"P0133","Clothing",233,"98.67"
"P0096","Toys",82,"55.49"
"P0031","Electronics",67,"39.27"
"P0129","Furniture",103,"99.66"
"P0116","Furniture",94,"31.44"
"P0171","Electronics",119,"33.02"
"P0175","Electronics",55,"66.77"
"P0067","Furniture",67,"57.18"
"P0183","Electronics",52,"32.02"
"P0166","Groceries",57,"30.99"
"P0079","Furniture",71,"90.03"
"P0057","Clothing",134,"47.59"
"P0153","Furniture",143,"74.2"
"P0083","Toys",146,"59.17"
"P0069","Clothing",145,"13.84"
"P0125","Clothing",150,"46.18"
"P0017","Toys",118,"73.04"
"P0094","Groceries",92,"75.64"
"P0066","Clothing",124,"72.67"
"P0061","Clothing",76,"98.19"
"P0068","Electronics",72,"39.5"
"P0126","Clothing",289,"76"
"P0133","Clothing",142,"44.06"
"P0096","Toys",56,"66.21"
"P0016","Clothing",229,"28.48"
"P0031","Electronics",119,"48.12"
"P0129","Furniture",97,"30.39"
"P0116","Furniture",56,"24.38"
"P0070","Electronics",100,"41.8"
"P0171","Electronics",134,"64.3"
"P0175","Electronics",33,"13.32"
"P0046","Clothing",151,"89.71"
"P0067","Furniture",47,"72.37"
"P0183","Electronics",104,"61.88"
"P0166","Groceries",110,"20.65"
"P0079","Furniture",96,"49.23"
"P0187","Clothing",92,"94.7"
"P0057","Clothing",115,"30.24"
"P0153","Furniture",104,"89.82"
"P0083","Toys",122,"44.07"
"P0069","Clothing",174,"92.75"
"P0125","Clothing",126,"62.11"
"P0017","Toys",32,"12.56"
"P0149","Furniture",65,"67.62"
"P0094","Groceries",99,"82.82"
"P0066","Clothing",137,"30.78"
"P0061","Clothing",42,"59.74"
"P0085","Electronics",102,"58.81"
"P0126","Clothing",89,"28.32"
"P0096","Toys",95,"48.43"
"P0016","Clothing",144,"85.09"
"P0031","Electronics",38,"56.12"
"P0159","Electronics",39,"84.03"
"P0129","Furniture",75,"37.95"
"P0171","Electronics",59,"47.98"
"P0175","Electronics",111,"90.52"
"P0046","Clothing",93,"18.11"
"P0067","Furniture",95,"33.8"
"P0166","Groceries",52,"60.54"
"P0079","Furniture",20,"34.54"
"P0187","Clothing",99,"35.45"
"P0178","Clothing",100,"57.84"
"P0057","Clothing",171,"38.23"
"P0153","Furniture",113,"12.9"
"P0083","Toys",85,"82.58"
"P0069","Clothing",85,"68.92"
"P0017","Toys",109,"14.69"
"P0149","Furniture",49,"90.96"
"P0094","Groceries",65,"65.45"
"P0066","Clothing",38,"81.06"
"P0061","Clothing",55,"73.23"
"P0085","Electronics",110,"70.85"
"P0068","Electronics",80,"25.01"
"P0096","Toys",41,"10.42"
"P0031","Electronics",99,"21.96"
"P0159","Electronics",157,"98.14"
"P0129","Furniture",47,"90.94"
"P0116","Furniture",132,"38.89"
"P0070","Electronics",30,"17.79"
"P0175","Electronics",95,"52.04"
"P0046","Clothing",173,"49.92"
"P0067","Furniture",115,"78.13"
"P0183","Electronics",67,"96.25"
"P0166","Groceries",170,"55.59"
"P0079","Furniture",58,"16.89"
"P0187","Clothing",149,"70.02"
"P0178","Clothing",201,"59.21"
"P0057","Clothing",155,"72.16"
"P0153","Furniture",117,"92.87"
"P0083","Toys",102,"12.39"
"P0069","Clothing",125,"33.67"
"P0017","Toys",101,"66.8"
"P0149","Furniture",110,"73.85"
"P0094","Groceries",63,"16.4"
"P0066","Clothing",65,"17.12"
"P0085","Electronics",29,"62.56"
"P0096","Toys",57,"26.62"
"P0016","Clothing",135,"58.89"
"P0129","Furniture",89,"56.25"
"P0116","Furniture",184,"94.4"
"P0070","Electronics",156,"85.46"
"P0171","Electronics",119,"40.57"
"P0175","Electronics",75,"67.58"
"P0046","Clothing",147,"84.17"
"P0067","Furniture",52,"90.64"
"P0183","Electronics",110,"12.26"
"P0166","Groceries",94,"13.12"
"P0079","Furniture",41,"35.94"
"P0178","Clothing",113,"79.17"
"P0057","Clothing",150,"98.59"
"P0153","Furniture",78,"18.32"
"P0125","Clothing",149,"83.3"
"P0017","Toys",119,"31.39"
"P0149","Furniture",96,"52.25"
"P0061","Clothing",93,"62.28"
"P0068","Electronics",56,"40.83"
"P0126","Clothing",141,"63.08"
"P0133","Clothing",42,"30.69"
"P0096","Toys",115,"29.68"
"P0016","Clothing",128,"81.89"
"P0129","Furniture",85,"21.86"
"P0116","Furniture",67,"81.22"
"P0070","Electronics",93,"21.3"
"P0171","Electronics",86,"80.91"
"P0175","Electronics",60,"66.8"
"P0046","Clothing",104,"84"
"P0067","Furniture",127,"39.2"
"P0183","Electronics",120,"10.09"
"P0079","Furniture",86,"10.96"
"P0187","Clothing",159,"78.46"
"P0178","Clothing",27,"71.71"
"P0057","Clothing",147,"96.84"
"P0153","Furniture",122,"48.28"
"P0083","Toys",69,"75.35"
"P0069","Clothing",190,"76.47"
"P0017","Toys",118,"80.26"
"P0149","Furniture",94,"30.24"
"P0094","Groceries",100,"98.05"
"P0066","Clothing",111,"63.23"
"P0061","Clothing",177,"42.19"
"P0085","Electronics",44,"13.92"
"P0068","Electronics",99,"85.81"
"P0126","Clothing",146,"39.92"
"P0133","Clothing",91,"21.19"
"P0096","Toys",75,"42.57"
"P0016","Clothing",141,"81.74"
"P0031","Electronics",133,"65.49"
"P0159","Electronics",123,"48.93"
"P0129","Furniture",105,"56.36"
"P0116","Furniture",57,"67.3"
"P0070","Electronics",104,"42.24"
"P0171","Electronics",90,"53.18"
"P0175","Electronics",71,"13.06"
"P0046","Clothing",102,"86.74"
"P0067","Furniture",122,"47.03"
"P0183","Electronics",116,"10.02"
"P0166","Groceries",64,"10.41"
"P0079","Furniture",99,"39.38"
"P0178","Clothing",187,"49.1"
"P0153","Furniture",77,"82.22"
"P0083","Toys",79,"42.7"
"P0069","Clothing",70,"24.15"
"P0125","Clothing",183,"45.81"
"P0017","Toys",50,"92.38"
"P0149","Furniture",124,"42.61"
"P0094","Groceries",121,"60.29"
"P0066","Clothing",85,"60.47"
"P0061","Clothing",175,"34.16"
"P0085","Electronics",118,"58.88"
"P0068","Electronics",72,"78.8"
"P0126","Clothing",140,"65.58"
"P0133","Clothing",142,"55.91"
"P0096","Toys",53,"47.79"
"P0016","Clothing",151,"80.73"
"P0031","Electronics",64,"79.42"
"P0159","Electronics",120,"31.56"
"P0129","Furniture",40,"45.12"
"P0116","Furniture",114,"46.09"
"P0070","Electronics",81,"57.3"
"P0171","Electronics",64,"43.91"
"P0046","Clothing",120,"15.21"
"P0183","Electronics",126,"59.44"
"P0187","Clothing",137,"23.53"
"P0178","Clothing",103,"23.47"
"P0153","Furniture",67,"43.45"
"P0083","Toys",77,"22.66"
"P0069","Clothing",158,"94.33"
"P0125","Clothing",127,"26.05"
"P0017","Toys",46,"62.11"
"P0149","Furniture",174,"39.38"
"P0094","Groceries",118,"34.54"
"P0066","Clothing",47,"12.96"
"P0085","Electronics",141,"98.89"
"P0126","Clothing",88,"55.29"
"P0133","Clothing",90,"56.21"
"P0096","Toys",108,"90.18"
"P0031","Electronics",67,"78.13"
"P0159","Electronics",63,"22.81"
"P0129","Furniture",130,"24.71"
"P0116","Furniture",62,"78.55"
"P0070","Electronics",96,"23.09"
"P0171","Electronics",34,"90.31"
"P0046","Clothing",103,"59.52"
"P0067","Furniture",102,"39.2"
"P0183","Electronics",40,"52"
"P0166","Groceries",125,"97.92"
"P0079","Furniture",160,"28.03"
"P0187","Clothing",97,"24.81"
"P0178","Clothing",133,"79.92"
"P0057","Clothing",121,"75.52"
"P0153","Furniture",134,"30.28"
"P0083","Toys",135,"53.61"
"P0069","Clothing",139,"39.79"
"P0125","Clothing",132,"21.16"
"P0017","Toys",116,"64.33"
"P0149","Furniture",92,"30"
"P0094","Groceries",36,"75.88"
"P0085","Electronics",64,"38.33"
"P0068","Electronics",63,"79.32"
"P0133","Clothing",135,"70.13"
"P0096","Toys",44,"26.52"
"P0016","Clothing",187,"23"
"P0031","Electronics",103,"94.62"
"P0159","Electronics",93,"39.86"
"P0116","Furniture",113,"13.72"
"P0070","Electronics",97,"14.36"
"P0171","Electronics",115,"87.72"
"P0175","Electronics",121,"50.62"
"P0046","Clothing",142,"18.18"
"P0183","Electronics",82,"73.64"
"P0166","Groceries",79,"64.47"
"P0079","Furniture",97,"36.71"
"P0187","Clothing",148,"91.12"
"P0178","Clothing",204,"84.91"
"P0057","Clothing",85,"31.14"
"P0153","Furniture",153,"29.72"
"P0083","Toys",90,"92.75"
"P0069","Clothing",126,"19.75"
"P0125","Clothing",160,"40.08"
"P0017","Toys",185,"87.59"
"P0149","Furniture",119,"93.83"
"P0094","Groceries",78,"82.49"
"P0066","Clothing",126,"52.76"
"P0061","Clothing",187,"37.55"
"P0085","Electronics",101,"57.98"
"P0068","Electronics",66,"14.85"
"P0126","Clothing",122,"32.23"
"P0133","Clothing",145,"91.18"
"P0096","Toys",161,"21.57"
"P0016","Clothing",86,"77.46"
"P0159","Electronics",104,"49.92"
"P0116","Furniture",115,"93.8"
"P0171","Electronics",67,"94.44"
"P0046","Clothing",88,"10.72"
"P0067","Furniture",59,"63.09"
"P0183","Electronics",89,"91.21"
"P0166","Groceries",105,"96.27"
"P0079","Furniture",83,"15.51"
"P0187","Clothing",121,"74.04"
"P0178","Clothing",119,"90.83"
"P0057","Clothing",105,"64.39"
"P0153","Furniture",91,"83.33"
"P0083","Toys",160,"49.64"
"P0125","Clothing",218,"91.91"
"P0017","Toys",54,"53.6"
"P0149","Furniture",89,"69.44"
"P0094","Groceries",63,"21.57"
"P0066","Clothing",128,"34.88"
"P0061","Clothing",210,"99.45"
"P0085","Electronics",58,"11.19"
"P0068","Electronics",88,"70.44"
"P0126","Clothing",125,"74.46"
"P0133","Clothing",98,"63.46"
"P0096","Toys",110,"87.09"
"P0016","Clothing",125,"15.36"
"P0031","Electronics",92,"33.4"
"P0159","Electronics",128,"50.82"
"P0129","Furniture",83,"51.93"
"P0116","Furniture",75,"14.45"
"P0070","Electronics",59,"94.48"
"P0171","Electronics",133,"59.67"
"P0175","Electronics",70,"64"
"P0046","Clothing",74,"10.52"
"P0183","Electronics",78,"89.51"
"P0166","Groceries",164,"65.28"
"P0079","Furniture",96,"69.32"
"P0187","Clothing",67,"12.92"
"P0178","Clothing",142,"23.11"
"P0057","Clothing",190,"51.12"
"P0153","Furniture",60,"77.57"
"P0083","Toys",67,"81.06"
"P0069","Clothing",146,"41.91"
"P0125","Clothing",18,"30.7"
"P0017","Toys",63,"31.14"
"P0149","Furniture",94,"72.4"
"P0066","Clothing",198,"70.2"
"P0061","Clothing",182,"12.9"
"P0085","Electronics",83,"73.17"
"P0126","Clothing",89,"19.27"
"P0133","Clothing",87,"58.95"
"P0016","Clothing",77,"30.06"
"P0031","Electronics",53,"39.14"
"P0159","Electronics",74,"67.05"
"P0129","Furniture",110,"98.02"
"P0116","Furniture",128,"12.2"
"P0070","Electronics",96,"77.78"
"P0171","Electronics",128,"66.34"
"P0175","Electronics",74,"30.38"
"P0046","Clothing",86,"52.93"
"P0067","Furniture",116,"55.75"
"P0183","Electronics",112,"70.67"
"P0166","Groceries",160,"84.16"
"P0079","Furniture",120,"45"
"P0187","Clothing",84,"99.35"
"P0178","Clothing",101,"36.86"
"P0153","Furniture",106,"75.63"
"P0069","Clothing",184,"30.55"
"P0125","Clothing",130,"49.62"
"P0017","Toys",123,"76.62"
"P0149","Furniture",113,"80.86"
"P0066","Clothing",133,"37.89"
"P0061","Clothing",240,"56.63"
"P0085","Electronics",77,"19.08"
"P0126","Clothing",124,"26.53"
"P0133","Clothing",182,"24.13"
"P0031","Electronics",121,"70.98"
"P0159","Electronics",132,"54.39"
"P0129","Furniture",80,"66.94"
"P0116","Furniture",78,"80.55"
"P0070","Electronics",109,"80.66"
"P0171","Electronics",110,"21.64"
"P0046","Clothing",161,"20.48"
"P0067","Furniture",176,"67.71"
"P0166","Groceries",100,"93.11"
"P0079","Furniture",97,"39.84"
"P0187","Clothing",75,"65.9"
"P0057","Clothing",107,"27.23"
"P0153","Furniture",30,"95.87"
"P0083","Toys",71,"80.1"
"P0069","Clothing",182,"98.43"
"P0125","Clothing",94,"50.4"
"P0017","Toys",126,"54.89"
"P0149","Furniture",93,"32.49"
"P0094","Groceries",89,"92.97"
"P0066","Clothing",223,"88.22"
"P0061","Clothing",96,"34.61"
"P0085","Electronics",123,"75.48"
"P0068","Electronics",74,"88.57"
"P0126","Clothing",97,"27.64"
"P0133","Clothing",146,"98.19"
"P0096","Toys",91,"44.51"
"P0016","Clothing",77,"63.57"
"P0031","Electronics",77,"13.09"
"P0159","Electronics",128,"91.11"
"P0129","Furniture",111,"45.1"
"P0070","Electronics",83,"81.51"
"P0171","Electronics",114,"12.74"
"P0175","Electronics",39,"86.32"
"P0046","Clothing",114,"85.47"
"P0166","Groceries",133,"42.45"
"P0079","Furniture",127,"95.03"
"P0187","Clothing",116,"50.31"
"P0178","Clothing",173,"86.35"
"P0057","Clothing",129,"84.92"
"P0153","Furniture",109,"37.71"
"P0083","Toys",100,"86"
"P0069","Clothing",111,"63.91"
"P0125","Clothing",141,"88.03"
"P0017","Toys",153,"21.45"
"P0149","Furniture",109,"87.73"
"P0066","Clothing",123,"26.78"
"P0061","Clothing",172,"57.87"
"P0085","Electronics",90,"24.02"
"P0068","Electronics",137,"56.51"
"P0126","Clothing",145,"51.98"
"P0133","Clothing",159,"30.95"
"P0016","Clothing",55,"23.41"
"P0031","Electronics",112,"45.63"
"P0159","Electronics",123,"68.92"
"P0129","Furniture",96,"72.32"
"P0116","Furniture",75,"87.97"
"P0070","Electronics",9,"43.59"
"P0171","Electronics",163,"86.96"
"P0046","Clothing",208,"32.58"
"P0067","Furniture",87,"46.36"
"P0183","Electronics",77,"33.83"
"P0166","Groceries",122,"85.45"
"P0079","Furniture",67,"48.18"
"P0187","Clothing",121,"69.29"
"P0178","Clothing",152,"20.59"
"P0057","Clothing",70,"54.67"
"P0083","Toys",15,"56.41"
"P0069","Clothing",71,"22.48"
"P0017","Toys",66,"47.83"
"P0149","Furniture",82,"77.19"
"P0094","Groceries",135,"89.16"
"P0066","Clothing",138,"76.6"
"P0061","Clothing",150,"40.32"
"P0085","Electronics",33,"47.7"
"P0068","Electronics",74,"17.53"
"P0126","Clothing",126,"84.8"
"P0133","Clothing",141,"51.16"
"P0016","Clothing",121,"38.57"
"P0159","Electronics",58,"61.34"
"P0116","Furniture",76,"76.13"
"P0070","Electronics",84,"54.63"
